Rank,Robot,Weapon
1,Blitz MK2 ;,Hala MK2
1,Blitz MK2 ;,Gust MK2
1,Blitz MK2 ;,Gust MK2
1,Blitz MK2 ;,Halo MK2
1,HaechiMK2,Scourge MK2
1,HaechiMK2,Scourge MK2
1,HaechiMK2,Scourge MK2
1,HaechiMK2,a 3.
1,Bulwark MKe2 -,Dragoon MK2
1,Bulwark MKe2 -,Dragoon MK2
1,Bulwark MKe2 -,": so, -"
1,Bulwark MKe2 -,“ ; . '
1,Spectre MK2,Orkan MK2
1,Spectre MK2,Orkan MK2
1,Spectre MK2,Orkan MK2
1,Spectre MK2,Orkan MK2
1,FalconMKe2—,Trident MK2
1,FalconMKe2—,Ember MK2
1,FalconMKe2—,Trident MK2
1,FalconMKe2—,ab : ‘y
2,Hellburner MKé,Hala MK2
2,Hellburner MKé,Avenger MK2
2,Hellburner MKé,"e, 3 -"
2,Hellburner MKé,
2,Mercury MkKe «,Dragan Blaze MK
2,Mercury MkKe «,Ember MK2
2,Mercury MkKe «,Halo MK2
2,Mercury MkKe «,Oe
2,Invader MK2 -,Corona MK2
2,Invader MK2 -,Halo MK2
2,Invader MK2 -,Halo MK2
2,Invader MK2 -,:
2,Ao Jun MK2,Glory MK2
2,Ao Jun MK2,Ember MK2
2,Ao Jun MK2,aid
2,Ao Jun MK2,"7 a r, f"
2,Ares MK2 ;,Scourge MK2
2,Ares MK2 ;,Shredder MK2
2,Ares MK2 ;,Shredder MK2
2,Ares MK2 ;,Scourge MK2
3,Ares MK2 :,Scourge MK2
3,Ares MK2 :,Spark :
3,Ares MK2 :,Spark MK2
3,Ares MK2 :,Scourge MK2
3,Ao JunMK2 +,Avenger MK2
3,Ao JunMK2 +,Avenger MK2
3,Ao JunMK2 +,aid
3,Ao JunMK2 +,"a r,"
3,Ao JunMKe,Ember MK2
3,Ao JunMKe,Ember MK2
3,Ao JunMKe,aid
3,Ao JunMKe,« i
3,Invader MK2,Storm MK2
3,Invader MK2,Gust MK2
3,Invader MK2,Gust MK2
3,Invader MK2,.
3,Hellburner MKi,Ecu
3,Hellburner MKi,Avenger MK2
3,Hellburner MKi,
3,Hellburner MKi,“4 ; t wv
4,Hellburner MKé,Dragon Blaze
4,Hellburner MKé,Ember MK2
4,Hellburner MKé,wr
4,Hellburner MKé,a
4,Invader MK2 «,Corona
4,Invader MK2 «,Halo
4,Invader MK2 «,Halo ;
4,Invader MK2 «,
4,Mercury Mke -,Halo
4,Mercury Mke -,Ember MK2
4,Mercury Mke -,Halo
4,Mercury Mke -,ay we
4,Nemesis,Storm MK2
4,Nemesis,Starm MK2
4,Nemesis,Le “ as
4,Nemesis,Be
4,Ares MK2 ;,Taran MK2
4,Ares MK2 ;,Halo .
4,Ares MK2 ;,Halo
4,Ares MK2 ;,Taran MK2
5,Invader MK2,Storm MK2
5,Invader MK2,Gust MK2
5,Invader MK2,Gust MK2
5,Invader MK2,.
5,Ares 4,Scourge MK2
5,Ares 4,Halo MK2 :
5,Ares 4,Hala MK2
5,Ares 4,Scourge MK2
5,Mercury Mke -,Halo MK2
5,Mercury Mke -,Ember MK2
5,Mercury Mke -,Halo MK2
5,Mercury Mke -,ay We
5,Ares MK2,Scourge MK2
5,Ares MK2,Halo
5,Ares MK2,Shredder MK2
5,Ares MK2,Scourge MK2
5,Hellburner ‘,Gust MK2
5,Hellburner ‘,Avenger MK2
5,Hellburner ‘,~w
5,Hellburner ‘,“y 2
6,Mercury MkKe +,Halo
6,Mercury MkKe +,Glory
6,Mercury MkKe +,Halo
6,Mercury MkKe +,ony WF
6,Strider MK2—-,Halo
6,Strider MK2—-,Halo
6,Strider MK2—-,Ember MK2
6,Strider MK2—-,
6,Ao JunMKe,Avenger MK2
6,Ao JunMKe,Avenger MK2
6,Ao JunMKe,aid
6,Ao JunMKe,"rT « r, {"
6,Ares MK2,Pulsar
6,Ares MK2,Shredder
6,Ares MK2,Shredder
6,Ares MK2,Pulsar
6,Invader MKe2 -,Storm MK2
6,Invader MKe2 -,Halo
6,Invader MKe2 -,Gust MK2
6,Invader MKe2 -,‘
7,Ao JunMKe -,Dragon Calamity
7,Ao JunMKe -,Mi Calamity
7,Ao JunMKe -,avd
7,Ao JunMKe -,"g r, i"
7,Mercury MkKe «,Shredder MK2
7,Mercury MkKe «,Viper MK2
7,Mercury MkKe «,Halo MK2
7,Mercury MkKe «,a 7
7,Ares MK2 ',Tulumbas MK2
7,Ares MK2 ',Pin MK2
7,Ares MK2 ',Halo MK2
7,Ares MK2 ',Tulumbas MK2
7,Ares MK2,Storm MK2
